Ano,Meses,Classificacao,Quantidade
2022,Jan/22,Interconsulta,31
2022,Jan/22,Primeira Vez,166
2022,Jan/22,Quimioterapia,211
2022,Jan/22,Retorno,1422
2022,Fev/22,Interconsulta,62
2022,Fev/22,Primeira Vez,164
2022,Fev/22,Quimioterapia,269
2022,Fev/22,Retorno,1410
2022,Mar/22,Interconsulta,83
2022,Mar/22,Primeira Vez,191
2022,Mar/22,Quimioterapia,294
2022,Mar/22,Retorno,1701
2022,Abr/22,Interconsulta,30
2022,Abr/22,Primeira Vez,177
2022,Abr/22,Quimioterapia,244
2022,Abr/22,Retorno,1530
2022,Mai/22,Interconsulta,25
2022,Mai/22,Primeira Vez,202
2022,Mai/22,Quimioterapia,282
2022,Mai/22,Retorno,1520
2022,Jun/22,Interconsulta,18
2022,Jun/22,Primeira Vez,221
2022,Jun/22,Quimioterapia,269
2022,Jun/22,Retorno,1616
2022,Jul/22,Interconsulta,28
2022,Jul/22,Primeira Vez,208
2022,Jul/22,Quimioterapia,273
2022,Jul/22,Retorno,1547
2022,Ago/22,Interconsulta,26
2022,Ago/22,Primeira Vez,248
2022,Ago/22,Quimioterapia,338
2022,Ago/22,Retorno,1655
2022,Set/22,Interconsulta,26
2022,Set/22,Primeira Vez,233
2022,Set/22,Quimioterapia,280
2022,Set/22,Retorno,1636
2022,Out/22,Interconsulta,38
2022,Out/22,Primeira Vez,205
2022,Out/22,Quimioterapia,267
2022,Out/22,Retorno,1465
2022,Nov/22,Interconsulta,31
2022,Nov/22,Primeira Vez,185
2022,Nov/22,Quimioterapia,288
2022,Nov/22,Retorno,1447
2022,Dez/22,Interconsulta,18
2022,Dez/22,Primeira Vez,174
2022,Dez/22,Quimioterapia,268
2022,Dez/22,Retorno,1380
2023,Jan/23,Interconsulta,25
2023,Jan/23,Primeira Vez,220
2023,Jan/23,Quimioterapia,287
2023,Jan/23,Retorno,1673
2023,Fev/23,Interconsulta,27
2023,Fev/23,Primeira Vez,186
2023,Fev/23,Quimioterapia,352
2023,Fev/23,Retorno,1356
2023,Mar/23,Interconsulta,33
2023,Mar/23,Primeira Vez,229
2023,Mar/23,Quimioterapia,485
2023,Mar/23,Retorno,1641
